ID,ASPN,ISLR,SCN2B,HTRA1,HMGN2,SERPINA3,HMOX2,FCN3,GGT5,LAD1,ITPK1,FLII,FAM89B,TRIM8,Type
S234,8.290789417,8.290905826,5.979911796,12.25100402,9.541238146,-13.6988487,7.40395071,3.295882739,5.537138221,2.911253433,6.013522279,6.323655355,5.958653905,7.041189226,1
S235,9.405353559,8.704378655,5.324562528,13.98733326,9.523170151,2.709009039,0.064086048,2.914252723,5.793504771,3.525139246,5.435946798,5.666132774,4.618925169,8.009582512,1
S236,8.630127973,6.965034976,5.599752373,11.83251002,11.65992855,-2.895510666,7.062650696,4.482308809,6.073511409,2.485321757,5.139790033,5.59853525,5.956070609,6.942096392,1
S237,7.050793936,6.108536778,5.420230118,9.140378705,9.410856124,0.536496378,5.177961423,6.888739847,5.341514444,1.70755064,6.787509958,8.996326008,6.658964435,8.638939574,1
S238,6.899353014,5.651583521,5.649481075,9.046701607,7.410104723,-9.443221834,5.30132876,4.146907523,4.848480728,4.336714203,5.287726937,8.557515138,4.298564665,6.737330313,1
S239,6.771964555,7.223666857,5.650607409,7.258044774,9.052663721,-9.509632103,3.675977055,4.67742014,4.877264889,1.073493568,5.551058904,7.247625407,3.745394161,5.918318725,1
S240,8.211191665,13.59795662,4.420597596,18.25570752,8.741859316,12.5708642,3.004442035,6.000152625,6.452100421,3.186228769,6.977650095,5.593723767,4.673233086,10.01385687,1
S241,7.742234631,7.426067253,6.142110944,14.02040636,9.164805546,-8.38026913,9.53048499,7.230181334,4.865395303,4.484532154,5.194055249,6.821894453,6.880086955,7.339718017,1
S242,8.690025734,7.335905765,5.858465474,11.11493607,8.974146538,-8.235406422,6.027372977,6.577115489,5.621630039,2.841524887,5.739534614,7.054207226,5.638530256,7.506729506,1
S243,8.36264377,6.41031963,5.284275422,11.97637376,7.938214077,-6.410252838,7.152048302,4.950403298,5.233929593,4.627832589,5.851401678,6.306991489,4.1827274,4.276255033,1
S244,7.727517029,8.174212461,5.572851416,8.923885595,9.247819903,-9.396492971,6.368398932,4.380114586,4.952944194,2.941954446,6.244028091,6.15675849,9.151670201,6.072281466,1
